date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:12	722446/722446	---MCZ	200	added ('OK')	text/html	etag:W/%22696a2b1f-b060e%22	https://app.lanchinhofelizoficial.site/	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/index.html	(from )
13:35:12	892/892	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:35:12%20GMT	https://app.lanchinhofelizoficial.site/robots.txt		(from )
13:35:13	150967/150967	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Jan%202026%2018:31:59%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/10f50620.png	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/10f50620.png	(from https://app.lanchinhofelizoficial.site/)
13:35:14	350794/350794	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2016%20Jan%202026%2016:35:14%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/teste/connect.facebook.net/en_US/fbevents.js	(from https://app.lanchinhofelizoficial.site/)
13:35:16	104802/104802	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:15%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/31d9871e.png?quality=77	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/31d9871eaa69.png	(from https://app.lanchinhofelizoficial.site/)
13:35:18	120248/120248	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:17%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/21d9871e.png?quality=75	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/21d9871ebdd4.png	(from https://app.lanchinhofelizoficial.site/)
13:35:20	97947/97947	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:19%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/01d9871e.png?quality=84	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/01d9871e0059.png	(from https://app.lanchinhofelizoficial.site/)
13:35:21	105758/105758	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:20%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/41d9871e.png?quality=87	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/41d9871e4ef7.png	(from https://app.lanchinhofelizoficial.site/)
13:35:23	92020/92020	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:22%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/51d9871e.png?quality=87	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/51d9871e4ef7.png	(from https://app.lanchinhofelizoficial.site/)
13:35:25	114178/114178	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:24%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/61d9871e.png?quality=87	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/61d9871e4ef7.png	(from https://app.lanchinhofelizoficial.site/)
13:35:26	102883/102883	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:26%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/11d9871e.png?quality=79	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/11d9871ee10e.png	(from https://app.lanchinhofelizoficial.site/)
13:35:28	150967/150967	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:27%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/10f50620.png?quality=83	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/10f506204b2d.png	(from https://app.lanchinhofelizoficial.site/)
13:35:31	1388852/1388852	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:29%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/RPskzu2708931.png?quality=89	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/RPskzu2708931e280.png	(from https://app.lanchinhofelizoficial.site/)
13:35:35	1621025/1621025	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:32%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/ginJdH2708931.png?quality=75	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/ginJdH2708931bdd4.png	(from https://app.lanchinhofelizoficial.site/)
13:35:36	150967/150967	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:35%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/10f50620.png?quality=84	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/10f506200059.png	(from https://app.lanchinhofelizoficial.site/)
